name,disease,state,result,probability
rpr,syphilis,naive,positive,0
rpr,syphilis,naive,inadequate,0
rpr,syphilis,naive,negative,1
rpr,syphilis,sus_not_naive,positive,0.1
rpr,syphilis,sus_not_naive,inadequate,0
rpr,syphilis,sus_not_naive,negative,0.9
rpr,syphilis,primary,positive,0.86
rpr,syphilis,primary,inadequate,0
rpr,syphilis,primary,negative,0.14
rpr,syphilis,secondary,positive,1
rpr,syphilis,secondary,inadequate,0
rpr,syphilis,secondary,negative,0
rpr,syphilis,latent,positive,0.73
rpr,syphilis,latent,inadequate,0
rpr,syphilis,latent,negative,0.27
rpr,syphilis,tertiary,positive,0.73
rpr,syphilis,tertiary,inadequate,0
rpr,syphilis,tertiary,negative,0.27
rst,syphilis,naive,positive,0
rst,syphilis,naive,inadequate,0
rst,syphilis,naive,negative,1
rst,syphilis,sus_not_naive,positive,0.93
rst,syphilis,sus_not_naive,inadequate,0
rst,syphilis,sus_not_naive,negative,0.07
rst,syphilis,primary,positive,0.93
rst,syphilis,primary,inadequate,0
rst,syphilis,primary,negative,0.07
rst,syphilis,secondary,positive,0.85
rst,syphilis,secondary,inadequate,0
rst,syphilis,secondary,negative,0.15
rst,syphilis,latent,positive,0.64
rst,syphilis,latent,inadequate,0
rst,syphilis,latent,negative,0.36
rst,syphilis,tertiary,positive,0.64
rst,syphilis,tertiary,inadequate,0
rst,syphilis,tertiary,negative,0.36
syndromic,syphilis,naive,positive,0.2
syndromic,syphilis,naive,inadequate,0
syndromic,syphilis,naive,negative,0.8
syndromic,syphilis,sus_not_naive,positive,0.2
syndromic,syphilis,sus_not_naive,inadequate,0
syndromic,syphilis,sus_not_naive,negative,0.8
syndromic,syphilis,primary,positive,0.7
syndromic,syphilis,primary,inadequate,0
syndromic,syphilis,primary,negative,0.3
syndromic,syphilis,secondary,positive,0.6
syndromic,syphilis,secondary,inadequate,0
syndromic,syphilis,secondary,negative,0.4
syndromic,syphilis,latent,positive,0.01
syndromic,syphilis,latent,inadequate,0
syndromic,syphilis,latent,negative,0.99
syndromic,syphilis,tertiary,positive,0.2
syndromic,syphilis,tertiary,inadequate,0
syndromic,syphilis,tertiary,negative,0.8
dual,syphilis,naive,positive,
dual,syphilis,naive,inadequate,
dual,syphilis,naive,negative,
dual,syphilis,sus_not_naive,positive,
dual,syphilis,sus_not_naive,inadequate,
dual,syphilis,sus_not_naive,negative,
dual,syphilis,primary,positive,
dual,syphilis,primary,inadequate,
dual,syphilis,primary,negative,
dual,syphilis,secondary,positive,
dual,syphilis,secondary,inadequate,
dual,syphilis,secondary,negative,
dual,syphilis,latent,positive,
dual,syphilis,latent,inadequate,
dual,syphilis,latent,negative,
dual,syphilis,tertiary,positive,
dual,syphilis,tertiary,inadequate,
dual,syphilis,tertiary,negative,
