"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13824876800367","3.72335376090889","4.26235296546205","4.75901795356446","5.17711556046047","5.52059424625689","5.82634611938586","6.0507294444324","6.18611986240269","6.23655052002017","6.26745820672107","6.21940873446642","6.14154436463919","6.03055645406107","5.89028299988324","5.77840101902931","5.6470929414171","5.55547945395468","5.50366572118788","5.43901960869382","5.41869190592403","5.38602427474453","5.36029674968055","5.29003998931434","5.26945574047982","5.19338027943555","5.12093984635899","4.99218666581722","4.8722405426643","4.73605210265311","4.58612136218462","4.42559316082533","","",
"Afghanistan","AFG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Africa Western and Central","AFW","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24615972570152","1.48006476778974","1.71830770505614","1.93728956502449","2.14672615465284","2.29488860782106","2.41949705612989","2.52836242160603","2.57053905927763","2.57940127745534","2.58091582435731","2.55120243562074","2.45561073389698","2.36789680953022","2.31368039345134","2.2180501936741","2.15793871105927","2.06111141514791","2.0290981419454","1.98042546975849","1.94735336819637","1.87011991459188","1.83301545851485","1.80276753611687","1.75498349905253","1.67914982920171","1.64368109680525","1.61180838109006","1.52790425974027","1.49004231777319","1.46526793606665","1.38732783641421","","",
"Angola","AGO","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.3","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1","1.1","1.2","1.4","1.4","1.5","1.6","1.7","1.8","1.8","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.8","1.8","1.7","1.7","1.6","1.6","","",
"Albania","ALB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Andorra","AND","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.101396943476178","0.10172955556266","0.103444127463872","0.104361253258854","0.109573427323617","0.1213945495875","0.123302606177755","0.126139526442501","0.127900972039017","0.133447409792048","0.13392045818765","0.134015288079211","0.133644156952383","0.132876973023711","0.131849287040027","0.131154788698779","0.127059656990909","0.126494075656414","0.124940549133236","0.124365075010785","0.123760886969912","0.123564789178064","0.118518760333505","0.118478735346236","0.118479713053624","0.120543063407611","0.120498353774597","0.120434592262122","0.120628763431293","0.106892626480584","0.107693099215043","","",
"United Arab Emirates","ARE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","","",
