Time,Sex,AgeGrpStart,mx
1990,Male,0,0.05690134
1990,Male,1,0.00828929
1990,Male,5,0.00229438
1990,Male,10,0.00168439
1990,Male,15,0.00263473
1990,Male,20,0.00429379
1990,Male,25,0.00578139
1990,Male,30,0.00756349
1990,Male,35,0.00988322
1990,Male,40,0.01227002
1990,Male,45,0.01515003
1990,Male,50,0.01912166
1990,Male,55,0.02404758
1990,Male,60,0.03313473
1990,Male,65,0.04552164
1990,Male,70,0.06465411
1990,Male,75,0.09408039
1990,Male,80,0.13960305
1990,Male,85,0.20466358
1990,Male,90,0.28504895
1990,Male,95,0.38370417
1990,Male,100,0.49588416
2000,Male,0,0.06648071
2000,Male,1,0.01061721
2000,Male,5,0.00321347
2000,Male,10,0.00269235
2000,Male,15,0.00484141
2000,Male,20,0.00938604
2000,Male,25,0.01590891
2000,Male,30,0.02379655
2000,Male,35,0.03239491
2000,Male,40,0.03798214
2000,Male,45,0.04222148
2000,Male,50,0.04629084
2000,Male,55,0.05080074
2000,Male,60,0.06246765
2000,Male,65,0.07378339
2000,Male,70,0.08435495
2000,Male,75,0.10105418
2000,Male,80,0.13612429
2000,Male,85,0.20015735
2000,Male,90,0.27996087
2000,Male,95,0.37794367
2000,Male,100,0.49017205
2010,Male,0,0.06087357
2010,Male,1,0.00916367
2010,Male,5,0.0025803
2010,Male,10,0.0020399
2010,Male,15,0.00346069
2010,Male,20,0.00654215
2010,Male,25,0.01075182
2010,Male,30,0.01581467
2010,Male,35,0.02145546
2010,Male,40,0.02535041
2010,Male,45,0.02857081
2010,Male,50,0.03200193
2010,Male,55,0.035878
2010,Male,60,0.04519127
2010,Male,65,0.05574332
2010,Male,70,0.06972544
2010,Male,75,0.09237577
2010,Male,80,0.13260412
2010,Male,85,0.19562433
2010,Male,90,0.27484136
2010,Male,95,0.37214656
2010,Male,100,0.48440225
2020,Male,0,0.04098345
2020,Male,1,0.00416934
2020,Male,5,0.00132464
2020,Male,10,0.00111267
2020,Male,15,0.00187829
2020,Male,20,0.00326621
2020,Male,25,0.00481268
2020,Male,30,0.0069073
2020,Male,35,0.00979496
2020,Male,40,0.01297214
2020,Male,45,0.0165906
2020,Male,50,0.02166375
2020,Male,55,0.02832456
2020,Male,60,0.03958052
2020,Male,65,0.0527891
2020,Male,70,0.07028015
2020,Male,75,0.09539233
2020,Male,80,0.14249751
2020,Male,85,0.21675574
2020,Male,90,0.29666029
2020,Male,95,0.39325004
2020,Male,100,0.50431187
1990,Female,0,0.04917817
1990,Female,1,0.00660965
1990,Female,5,0.0018089
1990,Female,10,0.00134405
1990,Female,15,0.00197981
1990,Female,20,0.00284979
1990,Female,25,0.00373827
1990,Female,30,0.00466477
1990,Female,35,0.00583973
1990,Female,40,0.0071619
1990,Female,45,0.00887065
1990,Female,50,0.01173245
1990,Female,55,0.01571795
1990,Female,60,0.02309828
